编号,开始答题时间,结束答题时间,答题时长,地理位置国家和地区,地理位置省,地理位置市,自定义字段,IP,UA,Referrer,1.您的年龄是,2.您的专业是否属于计算机类专业,3.到目前为止，您的最高学历(包括在读)是？,4.您的性别是？,5.您家中是否有智能家居设备？,6.您是否了解过智能家居自动化规则？,7.为了**下班回家**享受休闲生活，您会怎样设置智能家居自动化规则呢？例如，下班回家时（触发条件），自动打开客厅门（动作）_填空1,7.为了**下班回家**享受休闲生活，您会怎样设置智能家居自动化规则呢？例如，下班回家时（触发条件），自动打开客厅门（动作）_填空2,7.为了**下班回家**享受休闲生活，您会怎样设置智能家居自动化规则呢？例如，下班回家时（触发条件），自动打开客厅门（动作）_填空3,8.为了保持房间有合适的**光照条件**，您会怎样设置智能家居自动化规则呢？例如，当日出时（触发条件），自动打开窗帘和关闭灯泡直到下午日落时（动作），可以利用自然光保持房间合适的光照。当然，您也可以充分利用各种传感器来设置您期望的触发条件。_填空1,8.为了保持房间有合适的**光照条件**，您会怎样设置智能家居自动化规则呢？例如，当日出时（触发条件），自动打开窗帘和关闭灯泡直到下午日落时（动作），可以利用自然光保持房间合适的光照。当然，您也可以充分利用各种传感器来设置您期望的触发条件。_填空2,8.为了保持房间有合适的**光照条件**，您会怎样设置智能家居自动化规则呢？例如，当日出时（触发条件），自动打开窗帘和关闭灯泡直到下午日落时（动作），可以利用自然光保持房间合适的光照。当然，您也可以充分利用各种传感器来设置您期望的触发条件。_填空3,9.为了保持房间有合适的**温度条件**，您会怎样设置智能家居自动化规则呢？例如，当运动传感器检测到我睡觉，且温度传感器检测到当前温度较低时（触发条件），自动适当调高空调温度并降低风速直到早上检测到我醒来（动作），为了保持房间有合适的温度条件让我睡得更好和更健康。_填空1,9.为了保持房间有合适的**温度条件**，您会怎样设置智能家居自动化规则呢？例如，当运动传感器检测到我睡觉，且温度传感器检测到当前温度较低时（触发条件），自动适当调高空调温度并降低风速直到早上检测到我醒来（动作），为了保持房间有合适的温度条件让我睡得更好和更健康。_填空2,9.为了保持房间有合适的**温度条件**，您会怎样设置智能家居自动化规则呢？例如，当运动传感器检测到我睡觉，且温度传感器检测到当前温度较低时（触发条件），自动适当调高空调温度并降低风速直到早上检测到我醒来（动作），为了保持房间有合适的温度条件让我睡得更好和更健康。_填空3,10.为了**保持房间有合适的湿度条件**，您会怎样设置智能家居自动化规则呢？例如，当我在浴室洗澡时（触发条件），自动打开浴室的智能风扇1小时（动作），为了保持房间有合适的湿度防止霉菌和细菌的滋生。也可以利用湿度传感器的数据作为触发条件。_填空1,10.为了**保持房间有合适的湿度条件**，您会怎样设置智能家居自动化规则呢？例如，当我在浴室洗澡时（触发条件），自动打开浴室的智能风扇1小时（动作），为了保持房间有合适的湿度防止霉菌和细菌的滋生。也可以利用湿度传感器的数据作为触发条件。_填空2,10.为了**保持房间有合适的湿度条件**，您会怎样设置智能家居自动化规则呢？例如，当我在浴室洗澡时（触发条件），自动打开浴室的智能风扇1小时（动作），为了保持房间有合适的湿度防止霉菌和细菌的滋生。也可以利用湿度传感器的数据作为触发条件。_填空3,11.为了**保持空气流通，防止二氧化碳浓度高**，您会怎样设置智能家居自动化规则呢？例如，当我在家时（触发器），自动每隔30分钟检测一次房间内的二氧化碳浓度，并在智能音箱上报告结果（动作），为了提醒我是否需要通风来保持空气流通，防止二氧化碳浓度高。_填空1,11.为了**保持空气流通，防止二氧化碳浓度高**，您会怎样设置智能家居自动化规则呢？例如，当我在家时（触发器），自动每隔30分钟检测一次房间内的二氧化碳浓度，并在智能音箱上报告结果（动作），为了提醒我是否需要通风来保持空气流通，防止二氧化碳浓度高。_填空2,11.为了**保持空气流通，防止二氧化碳浓度高**，您会怎样设置智能家居自动化规则呢？例如，当我在家时（触发器），自动每隔30分钟检测一次房间内的二氧化碳浓度，并在智能音箱上报告结果（动作），为了提醒我是否需要通风来保持空气流通，防止二氧化碳浓度高。_填空3,12.为了**避免或应对异常情况（例如家里有烟雾，一氧化碳浓度高，人走不断电等）**，您会怎样设置智能家居自动化规则呢？例如，当房间内的一氧化碳浓度超过一定的阈值时（触发器），自动打开窗户和新风系统，关闭电源和燃气，播放报警声音，并向我的手机发送紧急通知（动作）。_填空1,12.为了**避免或应对异常情况（例如家里有烟雾，一氧化碳浓度高，人走不断电等）**，您会怎样设置智能家居自动化规则呢？例如，当房间内的一氧化碳浓度超过一定的阈值时（触发器），自动打开窗户和新风系统，关闭电源和燃气，播放报警声音，并向我的手机发送紧急通知（动作）。_填空2,12.为了**避免或应对异常情况（例如家里有烟雾，一氧化碳浓度高，人走不断电等）**，您会怎样设置智能家居自动化规则呢？例如，当房间内的一氧化碳浓度超过一定的阈值时（触发器），自动打开窗户和新风系统，关闭电源和燃气，播放报警声音，并向我的手机发送紧急通知（动作）。_填空3,13.为了实现**安防功能，防止陌生人闯入**，您会怎样设置智能家居自动化规则呢？例如，当有人试图撬开门锁时（触发器），自动在智能音箱上播放一段警告语音，并在手机应用上发送紧急通知，同时拍摄门外的照片或者视频，并保存到云端（动作）防止盗窃和入侵。_填空1,13.为了实现**安防功能，防止陌生人闯入**，您会怎样设置智能家居自动化规则呢？例如，当有人试图撬开门锁时（触发器），自动在智能音箱上播放一段警告语音，并在手机应用上发送紧急通知，同时拍摄门外的照片或者视频，并保存到云端（动作）防止盗窃和入侵。_填空2,13.为了实现**安防功能，防止陌生人闯入**，您会怎样设置智能家居自动化规则呢？例如，当有人试图撬开门锁时（触发器），自动在智能音箱上播放一段警告语音，并在手机应用上发送紧急通知，同时拍摄门外的照片或者视频，并保存到云端（动作）防止盗窃和入侵。_填空3,14.除了上述列举的智能家居场景外，还有很多其他的**日常生活场景**，您能结合您的日常生活构建一些场景并为它设置一些智能家居自动化规则吗？例如，当晚上运动检测器检测到我从睡梦中醒来需要去厕所时，自动打开床地灯1分钟，为了让我能够在昏暗的场景中安全的行动。_填空1,14.除了上述列举的智能家居场景外，还有很多其他的**日常生活场景**，您能结合您的日常生活构建一些场景并为它设置一些智能家居自动化规则吗？例如，当晚上运动检测器检测到我从睡梦中醒来需要去厕所时，自动打开床地灯1分钟，为了让我能够在昏暗的场景中安全的行动。_填空2,14.除了上述列举的智能家居场景外，还有很多其他的**日常生活场景**，您能结合您的日常生活构建一些场景并为它设置一些智能家居自动化规则吗？例如，当晚上运动检测器检测到我从睡梦中醒来需要去厕所时，自动打开床地灯1分钟，为了让我能够在昏暗的场景中安全的行动。_填空3
15,2023/6/23 21:41,2023/6/23 22:28,2823,中国,广东省,深圳市,,117.61.112.60,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.29(0x18001d38) NetType/WIFI Language/zh_CN",,B.18-25岁,B.否,D.大学本科,B.女,A.是,A.是,当使用卫生间淋浴器时，自动启动卫生间的抽风机，以确保空气流通和湿度控制。,当躺在床上并触发睡眠模式，自动关闭卧室的窗帘，关闭灯光，并调整空调为适合睡眠的温度,当您的手机接近家庭区域，根据GPS位置判断，自动打开客厅门，并将空调设定为您喜欢的温度。,日出太阳升起时，自动开启卧室窗帘，让阳光进入房间，促进自然醒来,根据日落时间，自动关闭客厅窗帘并打开灯泡照明,,当运动传感器检测到我早上醒来且温度传感器显示温度升高，自动调到适宜的温度和风速,当温度传感器检测到当前温度较低时，但光照传感器检测到室外天气较暖和。 自动调高客厅空调温度并降低风速，以在保持舒适的同时节能。,,当湿度传感器检测到卧室湿度超过设定的阈值，自动打开卧室加湿器，并调整加湿器的湿度设置到适当水平，以保持舒适的湿度条件。,当湿度传感器检测到厨房湿度超过设定的阈值，并且没有检测到任何烹饪活动或蒸汽释放，自动开启厨房抽油烟机并调整抽风速度，以排除潮湿和异味。,,当检测到有人在家时，每隔30分钟自动检测厨房内的二氧化碳浓度，并通过智能音箱报告结果，提醒我是否需要打开抽油烟机或通风设备,检测有人在家时，每隔一小时自动检测卧室内二氧化碳浓度,,当检测到厨房内的烟雾浓度超过设定的阈值，自动打开窗户和抽油烟机，关闭电源和燃气，播放报警声音，并向我的手机发送紧急通知。,当检测到房间内的火灾或烟雾，自动打开窗户，关闭电源和燃气，播放报警声音，并向我的手机发送紧急通知,,门锁有被破坏的迹象时，自动报警并拍照录像,输错密码多次且疑似陌生人，自动发出警告并录像报警,,当卫生间的门传感器检测到有人进入，自动打开排气扇，减少湿气和异味,传感器检测到房间长时间没人时，自动关闭空调,
14,2023/6/23 21:39,2023/6/23 22:13,2014,中国,河北省,张家口市,,2409:8904:6b21:c85e:184f:793e:9687:7377,"Mozilla/5.0 (Linux; Android 10; BLA-AL00 Build/HUAWEIBLA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20230504 MMWEBID/7238 MicroMessenger/8.0.37.2380(0x28002553) WeChat/arm64 W",,C.26-35岁,B.否,D.大学本科,B.女,A.是,A.是,下班回家移动打开空调,距离洗手台20厘米以内自动出水,家中有变动时小爱自动发送手机提示,电视打开时纱帘自动关闭,夜晚有识别人影晃动自动打开玄幻灯光,领悟状态10分钟自动关闭灯光,卧室识别有人的情况下自动控制室温23度,厨房识别调节风向,卫生间始终保持合适的温度湿度,湿度传感器设定固定的值，自动调节,保持卫生间干燥，湿度不满足时打开智能风扇1小时,洗手台有水渍自动打开手部干燥器10分钟,每天早晚检测室内二氧化碳浓度，并出具报告,识别家中有人时每隔1小时识别二氧化碳浓度，高出安全范围提醒开窗通风,,家中无人时烟雾传感器异常可自动报警并通知到我手机,电源出现异常情况时要实时传送视频到手机通知,,当智能锁出现异常情况播放警示铃声并自动联系物业上门处理,家长有人物晃动小爱要及时提示并发送监控视频,,客厅无人影晃动电视自动关闭,早晨运动传感器有识别家中窗帘自动拉开,半夜识别婴儿哭声灯光自动打开夜灯模式
13,2023/6/23 21:19,2023/6/23 22:04,2665,中国,云南省,昆明市,,2409:8a6c:31b:ad0:483f:4e8b:6485:1527,"Mozilla/5.0 (Linux; Android 10; VOG-AL10 Build/HUAWEIVOG-AL10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20230504 MMWEBID/7407 MicroMessenger/8.0.37.2380(0x28002553) WeChat/arm64 W",,E.50岁以上,B.否,C.大学专科,A.男,A.是,B.否,温度,语音控制,,语音,远程摇控,,语音,摇控,,设定湿度，自动断电风扇,语音,,语音,摇控,,着火，自动喷淋，向手机发通知,人几分钟没有动作，向手机发通知，摇控开门,,家里进贼，自动关闭门窗，同时播报警报声音，并向手机发送信息,外人靠近，播警告音，发信息到手机,,检测天黑和有人过，自动亮过道灯,检测天黑和有人过，自动亮房间灯,
12,2023/6/23 21:38,2023/6/23 21:53,875,中国,广东省,广州市,,121.32.198.216,"Mozilla/5.0 (Linux; Android 12; M2011K2C Build/SKQ1.211006.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20230405 MMWEBID/6238 MicroMessenger/8.0.35.2360(0x2800235D) WeChat/arm64 ",,C.26-35岁,A.是,E.硕士及以上,B.女,A.是,A.是,进门打开灯,开门打开窗,,踏入房间时打开灯光,伸手时自动放水,,室温30度时自动打开空调,厕所湿度较高时打开排气扇,,房间湿度高于50°时空调打开去湿,浴室用完打开排气扇,,客厅二氧化碳浓度达50时，打开窗户,房间二氧化碳达30时，打开窗户,,一氧化碳浓度达30 自动打开抽风机,每隔30分钟打开抽风机,,输错密码两次发送紧急提醒,钥匙转换两次仍打不开紧急提醒,,根据室温检测温度自动调高或调低空调温度及风量,根据日照强度自动开窗，检测到下雨，自动关窗,
11,2023/6/23 21:31,2023/6/23 21:42,643,中国,河北省,石家庄市,,2409:8a04:d2e:8471:f5e4:8dd8:cea0:d336,"Mozilla/5.0 (Linux; Android 11; V2121A Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20220805 MMWEBID/5009 MicroMessenger/8.0.27.2220(0x28001B59) WeChat/arm64 We",,C.26-35岁,A.是,D.大学本科,B.女,A.是,A.是,下班回家自动打开智能灯,下班回家自动打开电视,温度超过27摄氏度自动打开空调,早上四点自动关闭智能灯,下班回家自动开启智能灯,,温度过低时自动打开温度传感器,湿度过低时自动打开湿度传感器,,湿度过低时自动打开湿度传感器,湿度过高时自动打开智能风扇,,每隔一小时自动检测二氧化碳浓度,二氧化碳浓度过高时提醒我开窗通风,,一氧化碳浓度过高时提醒我,一氧化碳浓度过高时自动关闭电源,,有人撬门时自动报警提示,有人撬门时自动开启监控,,凌晨运动检测器自动打开小夜灯,人靠近洗手池时自动开启智能工作,
10,2023/6/23 18:42,2023/6/23 19:03,1251,中国,四川省,绵阳市,,2409:8a62:2b66:2dc1:f8e2:24c3:501b:d58f,"Mozilla/5.0 (Linux; Android 10; Mi 10 Build/QKQ1.191117.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20230504 MMWEBID/5769 MicroMessenger/8.0.37.2380(0x28002557) WeChat/arm64 Wei",,B.18-25岁,B.否,E.硕士及以上,A.男,A.是,A.是,躺上床小爱同学询问是否打开电视,电视打开灯光自动相应调整,判断人睡着时空调自动降低工作频率,躺床上看书灯光调亮,躺床上看电视灯光调暗,起床时床帘自动打开,睡觉时温度自动调整,躺床上不睡觉温度稍高,,着火了湿度必须大幅增加,房子漏雨了湿度必须大幅减小,,每30min检测一次二氧化碳浓度，判断是否操作,人不在家时始终检测,,人在家时半小时检测一次,人不在家一直检测,,有人撬锁立即报警,有人撬锁小爱同学立马唤醒所有灯光，监控拍下画面传到云端,,浴室洗澡自动放歌,夜间地震卧室自动开灯把人晃醒,每天人离开后扫地机器人自动打扫
9,2023/6/23 16:19,2023/6/23 17:35,4592,中国,云南省,昆明市,,116.52.137.177,"Mozilla/5.0 (Linux; Android 12; JLH-AN00 Build/HONORJLH-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20230504 MMWEBID/5491 MicroMessenger/8.0.37.2380(0x28002557) WeChat/arm64 We",,D.36-50岁,B.否,B.高中/中专/技校,B.女,A.是,A.是,打开空调调到适宜温度,安全门锁开门,打开电视，电磁炉做饭,小爱同学播报天气情况,智能灯调整灯的明暗,开关窗帘,电热毯加热,水龙头加热适宜洗漱,打开加热器,卧室空调增加通风,智能风扇增加通风,冰箱加湿利于蔬菜保鲜,打开门窗,打开风扇保持通风,打开空调,打开安全摄像头,厨房打开洒水器灭火,烟雾传感器报警,小爱音乐发送报警信息,安全摄像头拍摄画面,门锁自动锁门,小爱同学播放助眠起床音乐,人离开后启动安防,老人摔倒有语音提示
8,2023/6/22 13:25,2023/6/22 13:37,721,中国,陕西省,西安市,,2409:8970:bb2:c60:f021:8ade:8e4c:67e3,"Mozilla/5.0 (Linux; Android 12; ANA-AN00 Build/HUAWEIANA-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20230603 MMWEBID/4113 MicroMessenger/8.0.37.2380(0x2800256E) WeChat/arm64 W",,B.18-25岁,A.是,D.大学本科,A.男,B.否,A.是,空调到家前十分钟开启,打开门时开灯,冬天到家前十分钟打开电热毯,日出时打开窗帘,日落前一小时打开灯光,,夏天温度高于27℃打开空调，低于25℃关闭,冬天温度低于25℃打开加热器，高于27℃关闭,,湿度高于范围时打开风扇,湿度低于范围时打开洒水器,,定时检测二氧化碳浓度并汇报,二氧化碳浓度过高时打开风扇进行通风,,一氧化碳浓度过高时报警人离开时自动关闭电源,氧化碳浓度过高时报警人离开时自动关闭电源,,有人收图撬锁时开启视频拍摄,有人撬锁时先不报警，等进入房间五分钟后报警,,当晚上运动检测器检测到我从睡梦中醒来需要去厕所时，自动打开床地灯1分钟，为了让我能够在昏暗的场景中安全的行动。,洗完手后自动打开手部干燥器,
7,2023/6/21 14:55,2023/6/21 15:24,1743,中国,陕西省,西安市,,222.90.67.195,"Mozilla/5.0 (Linux; Android 12; V2154A Build/SP1A.210812.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20230504 MMWEBID/1868 MicroMessenger/8.0.37.2380(0x28002553) WeChat/arm64 We",,B.18-25岁,A.是,C.大学专科,A.男,B.否,A.是,开门时，空调根据温度传感器自动设置温度,呼叫小爱同学控制客厅的设备启动,在厨房时，烟雾报警器根据一氧化碳传感器判断是否打开,客厅的智能灯根据光照传感器在天黑时自动打开,当晚上时，自动关闭窗帘和灯泡直到天亮,冰箱根据光照传感器在天黑时自动打开冰箱的灯光,厨房的洒水器根据温度传感器当温度到设定值时进行洒水,洗手间的风扇根据温度传感器自动打开和关闭,加热器和电热毯根据温度传感器，当室内温度很低时，打开直到温度达到预设置,在厨房时，洒水器根据烟雾传感器自动洒水,当我洗完手时，手部干燥器根据手的适度选定合适的风俗进行干燥,睡觉时，屋内根据二氧化碳传感器来判断是否需要打开窗通风一会儿,在洗手间时，风扇根据洗手间温度判断是否需要打开从而使洗手间空气流通,在客厅时，如果客厅二氧化碳浓度过高，传感器通知小爱同学进行播报,在厨房做饭时，厨房的窗户根据烟雾传感器判断是否需要开窗通风,当房间的烟雾超过一定浓度时，通过烟雾传感器感知，屋内的窗户，风扇自动打开,当安全摄像头检测到屋内没人时，屋内的灯根据这一情况自动关闭,当安全摄像头检测到屋内没人时，将安全门锁自动锁好。,当有人试图撬开门锁时，屋内所有的灯自动打开，并且通知主人。,当安全摄像头检测到陌生人进入后，房间自动锁住，并通知主人是否报警,当主人在屋内时，自动将安全门锁关闭,当躺在沙发上时，沙发根据运动传感器自动调整，使人更加舒服,当走到冰箱前面时，冰箱根据运动传感器，自动打开和关闭冰箱门,站在洗手台前面时，智能洗手台根据人的身高自动判断是否需要升降
6,2023/6/21 11:29,2023/6/21 11:41,724,中国,陕西省,西安市,,124.114.148.25,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.37(0x1800252f) NetType/WIFI Language/zh_CN miniProgram/wxebadf544ddae62cb",,C.26-35岁,A.是,E.硕士及以上,A.男,A.是,B.否,开门开灯,开灯关窗帘,开门开音响,语音控制开灯,语音控制电视,语音控制空调,低于26度关闭空调,高于30度开空调,无,湿度低时开加湿器,湿度高时开空调,无,白天开窗,晚上关窗,下雨关窗,烟雾报警，发信息,无,无,陌生人闯入报警,1,2,无,无,无
5,2023/6/21 10:33,2023/6/21 10:44,672,中国,陕西省,西安市,,61.185.207.105,"Mozilla/5.0 (Linux; Android 12; TAS-AN00 Build/HUAWEITAS-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5127 MMWEBSDK/20230504 MMWEBID/1981 MicroMessenger/8.0.37.2380(0x28002553) WeChat/arm64 W",,B.18-25岁,A.是,E.硕士及以上,A.男,A.是,A.是,门打开自动打开入户灯,夏天温度过高自动打开空调,做饭时油烟浓度过高，自动打开换气扇,卧室早上自动打开窗帘,晚上卧室自动关闭窗帘,入户开灯,客厅运动传感器检测到有人，自动打开空调,冬天温度低于0℃打开空调,夏天温度高于30℃打开空调制冷,洗澡后打开通风换气,洗衣服时候打开通风换气,长时间没有居住定时打开通风换气,做饭时打开换气扇,检测到客厅抽烟打开换气通风系统,检测到煤气浓度高打开换气,一氧化碳浓度过高提示报警,烟雾报警器检测到延误进行报警手机提示,运动传感器检测到没有人，实行断电,有人试图敲门进行报警以及警铃恐吓,陌生人长时间驻留门口进行视频录制,陌生人驻留进行语音录制,检测到人出门时关闭电源和煤气,检测到洗澡的时候自动反锁入户门,检测到做饭时打开换气通风
4,2023/6/9 15:07,2023/6/9 15:35,1683,中国,北京市,北京市,,222.128.2.45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 NetType/WIFI MicroMessenger/6.8.0(0x16080000) MacWechat/3.8(0x13080010) XWEB/30515 Flue",,A.18岁以下,A.是,D.大学本科,A.男,A.是,A.是,进入客厅时，自动打开空气净化器并播放音乐,进入卫生间时，自动打开排气扇,进入卧室时，自动打开灯并关闭窗帘,日出时，自动打开闹铃并打开卧室窗帘,日出时，进入厨房自动打开灯并播放今天的天气预报,日落时，进入客厅自动打开灯并关闭窗帘,当温度检测器检测到卧室温度较低时，自动打开空调暖风,当温度检测器检测到厨房温度较高时，自动打开空调冷风,当检测到睡着并且温度较高时，自动打开空调冷风病降低风速,在浴室洗澡时，自动打开风扇除湿,上完厕所后，打开手部干燥器进行除湿,晚上睡觉时，打开卧室的加湿器,当检测到在客厅且二氧化碳浓度高时，自动打开空气净化器和排气扇,当检测到离开厕所时，自动打开厕所的智能风扇,当检测到在卧室且二氧化碳浓度高时，自动提醒开窗通风,当房间内一氧化碳浓度高时，播放报警声音并推送通知，同时自动打开排气系统,当房间内存在烟雾时，播放警报声音并自动开窗,当人离开房间并未断电时，自动断电并推送通知,当有人试图撬开门锁进入时，播放警报声音并推送手机通知同时拍摄门外视频,当有人试图破窗而入时，播放警报声音并推送手机通知同时拍摄窗外视频,当有陌生人进入房间时，自动关闭其他房间的门锁并推送手机通知,当检测到我开始使用跑步机时，自动打开音乐并播放运动歌单，同时降低房间温度并保持通风,当检测到开始工作时，自动关闭窗帘和窗户，保持房间安静,当检测到睡觉时，自动关闭所有房间的窗帘和灯
3,2023/6/8 19:43,2023/6/8 20:36,3172,中国,陕西省,西安市,,124.89.2.71,"Mozilla/5.0 (Linux; Android 10; OCE-AN50 Build/HUAWEIOCE-AN50; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/98.0.4758.102 MQQBrowser/6.2 TBS/046503 Mobile Safari/537.36 V1_AND_SQ_8.9.30_3730_YYB_D QQ/8.9.30.10230 NetType/4G WebP/0.3.0 App",,B.18-25岁,B.否,D.大学本科,B.女,B.否,B.否,人平躺在床上后直接关灯,回家前打开空调至合适温度,冬天打开淋浴后打开电热毯,卧室在人睁眼时再开灯开窗帘,客厅里有人活动且自然光线不足时再开灯,,卧室在人睡着后自动将空调调至合适温度,回家前厨房客厅空调有合适温度,,洗澡离开后自动打开窗通风,厨房人离开后自动打开窗通风,,人在家时检测二氧化碳一氧化碳浓度,浓度有异常时直接开窗通风,,水没关人不在时报警,煤气没关人不在时报警,,门被破坏时报警,摄像头检测到陌生人时报警并录像,,照镜子时自动打开边框灯,看电影时自动调暗灯光,
2,2023/6/8 15:55,2023/6/8 16:37,2499,中国,河北省,保定市,,2408:841d:53f1:6b4e:68f6:b3ff:fe8b:9d14,"Mozilla/5.0 (Linux; Android 13; PHK110 Build/SKQ1.221012.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.141 Mobile Safari/537.36 XWEB/5075 MMWEBSDK/20230303 MMWEBID/5197 MicroMessenger/8.0.34.2340(0x2800225F) WeChat/arm64 We",,B.18-25岁,B.否,D.大学本科,A.男,A.是,A.是,运动传感器检测到运动行为，打开空调,安全门锁打开，打开智能灯,湿度检测器超过预设值，打开智能空调,当日落光照减弱时，打开智能灯,当日落且智能灯关闭时，打开电视,当运动行为发生时，打开智能灯,当空调未打开且温度传感器检测到当前温度较低时，打开电热毯,当温度检测器检测到当前温度较低，且运动传感器检测到我在沙发上时，打开加热器,当温度检测器检测到当前温度较高时，打开空调降低温度,当浴室湿度超过预先设定值时，打开智能风扇直至湿度下降到设定值以下,无,,卧室二氧化碳传感器检测到当前二氧化碳浓度较高时，打开空调换气功能,二氧化碳浓度较高时，通过小爱同学进行提醒,,一氧化碳浓度超过预设值时，关闭电磁炉，并通过小爱同学提醒,烟雾传感器检测到烟雾时，打开洒水器,,安全门锁打开且安全摄像头检测到陌生人且未有主人陪同时，发送通知提醒,无,,卫生间智能洗手台使用后，自动打开手部干燥器,晚上客厅运动检测器检测到有人时，自动打开智能灯,
1,2023/6/7 14:51,2023/6/7 15:37,2794,中国,陕西省,西安市,,61.150.43.40,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.41",,B.18-25岁,A.是,E.硕士及以上,A.男,B.否,A.是,卧室温度大于28℃时，打开空调制冷；温度小于5℃时打开电热毯。,厨房烟雾含量大于一定阈值时，打开油烟机。,客厅光照低于一定阈值时，打开智能灯。,运动传感器感应到无人运动时，关闭智能灯。,客厅电视打开时，关闭智能灯。,卫生间镜子面前有人时，打开智能灯。,当传感器检测到窗户打开时，关闭空调，防止浪费电。,卫生间灯亮且湿度传感器检测到有人在洗澡时，打开浴霸暖风适当升高温度。,,当客厅和卧室的湿度传感器感应到湿度过高时，打开窗户通风。,当检测到过于干燥时，打开加湿器。,,当二氧化碳浓度高于危害人身体的浓度时，立即报警并开窗。,当家里没人时检测二氧化碳浓度，当有人回家时，在智能音箱上报告当前二氧化碳浓度。,,当家里没人且烟雾浓度很高且温度很高时立即打开洒水器并立即发消息通知主人。,当家里有人且烟雾浓度很高且温度很高时立即打开洒水器并通过音箱警报。,当厨房烟雾浓度过大时，打开油烟机。,当摄像头感应到家里进入陌生人时，立即警报并通知主人。,当运动传感器检测到速度过快时发出警报。,,当主人回家时，立即打开电视。,当主人下班还有10分钟到家时，提前将客厅的温度、湿度调到最适宜。,
